City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Det Udom,14.91,105.08,89.01,78,47,5.55,TH,2020-04-19 01-06:01,scattered clouds,0.0,0.0
Kodiak,57.79,-152.41,46.4,75,40,9.17,US,2020-04-19 01-00:31,scattered clouds,0.0,0.0
Kasongo-Lunda,-6.47,16.82,69.21,79,100,0.67,CD,2020-04-19 01-02:06,overcast clouds,0.0,0.0
Kendari,-3.94,122.5,80.73,88,97,2.33,ID,2020-04-19 01-04:06,light rain,1.96,0.0
Tasiilaq,65.61,-37.64,30.2,92,100,20.8,GL,2020-04-19 01-03:20,light snow,0.0,0.51
Hermanus,-34.42,19.23,64.99,59,94,1.99,ZA,2020-04-19 01-00:21,overcast clouds,0.0,0.0
Faanui,-16.48,-151.75,82.87,74,91,10.18,PF,2020-04-19 01-03:20,light rain,2.31,0.0
Ngunguru,-35.62,174.5,69.01,78,97,4.0,NZ,2020-04-19 01-02:39,overcast clouds,0.0,0.0
Castro,-24.79,-50.01,55.98,71,55,5.68,BR,2020-04-19 01-00:55,broken clouds,0.0,0.0
Torbay,47.67,-52.73,30.99,63,5,9.17,CA,2020-04-19 01-03:54,clear sky,0.0,0.0
Zharkent,44.16,80.0,52.05,34,0,5.84,KZ,2020-04-19 01-06:07,clear sky,0.0,0.0
Thompson,55.74,-97.86,17.6,37,20,8.05,CA,2020-04-19 01-03:16,few clouds,0.0,0.0
Longyearbyen,78.22,15.64,28.4,86,74,2.24,SJ,2020-04-19 01-01:46,broken clouds,0.0,0.0
Coihaique,-45.58,-72.07,44.6,93,90,8.05,CL,2020-04-19 01-02:52,light rain,0.0,0.0
New Norfolk,-42.78,147.06,57.99,79,79,2.19,AU,2020-04-19 01-03:22,broken clouds,0.0,0.0
Vao,-22.67,167.48,76.46,68,48,9.55,NC,2020-04-19 01-02:27,scattered clouds,0.0,0.0
Prince Rupert,54.32,-130.32,53.6,60,1,4.7,CA,2020-04-19 01-06:10,clear sky,0.0,0.0
Westport,41.14,-73.36,42.8,75,90,6.93,US,2020-04-19 01-03:59,overcast clouds,0.0,0.0
Port Elizabeth,-33.92,25.57,59.0,100,0,3.36,ZA,2020-04-19 01-03:20,clear sky,0.0,0.0
Kuliyapitiya,7.47,80.04,77.0,100,20,2.24,LK,2020-04-19 01-06:11,few clouds,0.0,0.0
Hilo,19.73,-155.09,82.4,54,20,10.29,US,2020-04-19 00-59:05,few clouds,0.0,0.0
Merke,42.87,73.18,48.31,37,0,3.02,KZ,2020-04-19 01-06:12,clear sky,0.0,0.0
Saint-Philippe,-21.36,55.77,77.0,83,18,18.34,RE,2020-04-19 01-03:25,light rain,0.78,0.0
Barrow,71.29,-156.79,8.6,71,1,13.87,US,2020-04-19 01-01:36,clear sky,0.0,0.0
Quatre Cocos,-20.21,57.76,75.0,85,34,5.99,MU,2020-04-19 01-03:42,scattered clouds,0.0,0.0
Poum,-20.23,164.02,78.91,76,41,12.77,NC,2020-04-19 01-04:04,scattered clouds,0.0,0.0
Cruzeiro Do Sul,-29.51,-51.99,61.0,91,0,1.48,BR,2020-04-19 01-06:14,clear sky,0.0,0.0
Baldone,56.74,24.39,36.0,86,40,3.36,LV,2020-04-19 01-06:15,scattered clouds,0.0,0.0
Wajima,37.4,136.9,51.8,81,75,5.82,JP,2020-04-19 01-06:16,broken clouds,0.0,0.0
Saskylakh,71.92,114.08,13.57,85,0,5.3,RU,2020-04-19 01-03:17,clear sky,0.0,0.0
Grand Gaube,-20.01,57.66,75.0,85,29,5.01,MU,2020-04-19 01-04:25,light rain,0.0,0.0
Maragogi,-9.01,-35.22,80.11,80,100,4.61,BR,2020-04-19 01-06:17,light rain,1.01,0.0
Ilulissat,69.22,-51.1,24.8,68,100,18.34,GL,2020-04-19 01-01:27,light snow,0.0,0.0
Murchison,-41.8,172.33,52.56,69,82,8.41,NZ,2020-04-19 01-06:18,light rain,1.79,0.0
Batagay,67.63,134.63,0.93,84,58,2.77,RU,2020-04-19 01-06:19,broken clouds,0.0,0.0
Avarua,-21.21,-159.78,82.4,69,70,6.93,CK,2020-04-19 01-01:01,broken clouds,0.0,0.0
Ponta Delgada,37.73,-25.67,62.6,93,75,12.75,PT,2020-04-19 01-06:20,broken clouds,0.0,0.0
Chuy,-33.7,-53.46,64.33,86,10,9.44,UY,2020-04-19 01-01:26,clear sky,0.0,0.0
Nanortalik,60.14,-45.24,28.76,92,89,5.21,GL,2020-04-19 01-04:09,light snow,0.0,0.28
Ibra,22.69,58.53,76.39,41,39,2.15,OM,2020-04-19 01-06:21,scattered clouds,0.0,0.0
Mayo,38.89,-76.51,48.2,45,1,5.82,US,2020-04-19 01-03:38,clear sky,0.0,0.0
Igarka,67.47,86.58,35.58,85,100,21.92,RU,2020-04-19 01-06:23,overcast clouds,0.0,0.0
Neka,36.65,53.3,53.6,100,90,2.24,IR,2020-04-19 01-06:23,fog,0.0,0.0
Hasaki,35.73,140.83,66.0,45,20,11.41,JP,2020-04-19 01-01:46,few clouds,0.0,0.0
Iralaya,15.0,-83.23,82.4,78,20,4.7,HN,2020-04-19 01-03:19,few clouds,0.0,0.0
Avera,33.19,-82.53,66.2,39,1,4.7,US,2020-04-19 01-00:31,clear sky,0.0,0.0
Pevek,69.7,170.31,2.86,92,48,6.89,RU,2020-04-19 01-03:23,scattered clouds,0.0,0.0
Hobart,-42.88,147.33,57.99,71,75,5.82,AU,2020-04-19 00-58:43,broken clouds,0.0,0.0
Namatanai,-3.67,152.43,83.41,75,95,7.99,PG,2020-04-19 01-03:59,light rain,2.52,0.0
Leh,34.17,77.58,31.32,20,84,3.44,IN,2020-04-19 01-06:27,broken clouds,0.0,0.0
Inongo,-1.95,18.27,72.27,90,99,2.84,CD,2020-04-19 01-06:28,light rain,1.6,0.0
Menongue,-14.66,17.69,62.87,60,94,3.53,AO,2020-04-19 01-06:29,overcast clouds,0.0,0.0
Cockburn Town,21.46,-71.14,78.6,81,42,14.81,TC,2020-04-19 00-58:56,scattered clouds,0.0,0.0
Dunedin,-45.87,170.5,59.0,42,72,13.0,NZ,2020-04-19 01-00:13,light rain,0.11,0.0
Mataura,-46.19,168.86,55.99,64,67,10.0,NZ,2020-04-19 01-00:24,broken clouds,0.0,0.0
Bredasdorp,-34.53,20.04,46.4,93,55,3.36,ZA,2020-04-19 01-03:12,broken clouds,0.0,0.0
Clyde River,70.47,-68.59,8.6,84,90,10.29,CA,2020-04-19 01-00:23,light snow,0.0,0.0
Northam,51.03,-4.22,51.01,95,63,1.01,GB,2020-04-19 01-06:34,broken clouds,0.0,0.0
Bethel,41.37,-73.41,39.2,64,1,6.31,US,2020-04-19 01-03:15,clear sky,0.0,0.0
Sosva,59.18,61.86,33.8,88,28,8.34,RU,2020-04-19 01-06:36,scattered clouds,0.0,0.0
Port Alfred,-33.59,26.89,62.01,87,0,5.01,ZA,2020-04-19 01-03:24,clear sky,0.0,0.0
Pavlovsk,50.46,40.11,37.26,74,11,4.9,RU,2020-04-19 01-06:38,few clouds,0.0,0.0
Dhidhdhoo,6.88,73.1,86.45,70,27,10.54,MV,2020-04-19 01-06:42,scattered clouds,0.0,0.0
Burnie,-41.07,145.92,57.0,66,79,5.99,AU,2020-04-19 00-58:46,broken clouds,0.0,0.0
Leningradskiy,69.38,178.42,6.51,87,15,9.44,RU,2020-04-19 01-03:33,few clouds,0.0,0.0
Ramshir,30.89,49.41,71.6,56,40,9.17,IR,2020-04-19 01-06:44,scattered clouds,0.0,0.0
Codrington,-38.27,141.97,56.35,75,55,10.51,AU,2020-04-19 01-03:34,broken clouds,0.0,0.0
Rudbar,30.15,62.6,70.81,33,90,5.1,AF,2020-04-19 01-06:46,light rain,0.27,0.0
Camacha,33.08,-16.33,60.8,77,20,9.17,PT,2020-04-19 01-01:43,few clouds,0.0,0.0
Imbituba,-28.24,-48.67,68.0,77,20,2.24,BR,2020-04-19 01-06:47,few clouds,0.0,0.0
Tuktoyaktuk,69.45,-133.04,10.4,85,75,11.41,CA,2020-04-19 01-02:28,broken clouds,0.0,0.0
Faya,18.39,42.45,62.6,87,20,3.18,SA,2020-04-19 01-03:51,few clouds,0.0,0.0
Chokurdakh,70.63,147.92,0.03,89,100,10.31,RU,2020-04-19 01-00:23,overcast clouds,0.0,0.0
Hamilton,39.18,-84.53,50.0,46,1,8.05,US,2020-04-19 01-00:17,clear sky,0.0,0.0
Bardstown,37.81,-85.47,48.99,67,1,4.99,US,2020-04-19 01-06:49,clear sky,0.0,0.0
Rizhao,35.43,119.46,49.71,89,100,8.93,CN,2020-04-19 01-06:50,light rain,2.58,0.0
Nairobi,-1.28,36.82,60.8,100,75,5.82,KE,2020-04-19 01-06:25,broken clouds,0.0,0.0
Cidreira,-30.18,-50.21,67.68,82,0,12.75,BR,2020-04-19 01-00:16,clear sky,0.0,0.0
Havre-Saint-Pierre,50.23,-63.6,32.0,93,1,12.75,CA,2020-04-19 01-06:51,clear sky,0.0,0.0
Flinders,-34.58,150.86,70.0,65,73,3.0,AU,2020-04-19 01-03:47,light rain,0.25,0.0
Rawah,34.48,41.91,71.73,32,1,4.07,IQ,2020-04-19 01-06:52,clear sky,0.0,0.0
Severiano Melo,-5.78,-37.96,76.15,81,63,4.38,BR,2020-04-19 01-06:53,broken clouds,0.0,0.0
Salym,60.06,71.48,42.94,84,99,7.76,RU,2020-04-19 01-03:45,overcast clouds,0.0,0.0
Limoux,42.92,2.17,57.2,93,90,13.87,FR,2020-04-19 01-06:54,overcast clouds,0.0,0.0
Labuhan,-6.88,112.21,80.65,82,82,3.74,ID,2020-04-19 01-03:45,light rain,0.3,0.0
Sabha,27.04,14.43,76.71,16,0,17.11,LY,2020-04-19 01-06:55,clear sky,0.0,0.0
Kiunga,-6.12,141.29,79.0,88,99,1.21,PG,2020-04-19 01-06:55,overcast clouds,0.0,0.0
Jamestown,42.1,-79.24,43.0,55,1,6.93,US,2020-04-19 01-03:21,clear sky,0.0,0.0
Teguise,29.06,-13.56,64.4,77,40,9.17,ES,2020-04-19 01-06:57,light rain,0.0,0.0
Wanning,18.8,110.4,78.26,83,3,9.95,CN,2020-04-19 01-03:53,clear sky,0.0,0.0
Longyan,25.11,117.02,72.5,71,80,3.24,CN,2020-04-19 01-06:58,broken clouds,0.0,0.0
Naivasha,-0.72,36.44,55.0,95,100,1.77,KE,2020-04-19 01-06:59,moderate rain,3.23,0.0
Kuchera,26.98,73.97,76.98,36,80,6.62,IN,2020-04-19 01-07:00,broken clouds,0.0,0.0
Lebu,-37.62,-73.65,54.91,90,57,1.86,CL,2020-04-19 00-59:52,broken clouds,0.0,0.0
San Blas,21.52,-105.27,80.6,42,75,9.17,MX,2020-04-19 01-07:01,broken clouds,0.0,0.0
Jingdezhen,29.29,117.21,60.26,91,97,7.36,CN,2020-04-19 01-05:13,light rain,2.98,0.0
Garachine,8.06,-78.36,80.26,80,67,2.1,PA,2020-04-19 01-07:02,light rain,0.46,0.0
Airai,-8.93,125.41,68.7,49,47,3.65,TL,2020-04-19 01-03:50,scattered clouds,0.0,0.0
Mahebourg,-20.41,57.7,75.0,85,34,5.99,MU,2020-04-19 01-01:21,scattered clouds,0.0,0.0
Jurmala,56.97,23.77,34.0,86,40,3.36,LV,2020-04-19 01-07:05,scattered clouds,0.0,0.0
Whitecourt,54.15,-115.69,48.2,31,5,5.82,CA,2020-04-19 01-07:06,clear sky,0.0,0.0
Anadyr,64.75,177.48,15.8,85,90,35.79,RU,2020-04-19 01-03:21,snow,0.0,0.0
East London,-33.02,27.91,69.13,67,0,16.78,ZA,2020-04-19 01-03:18,clear sky,0.0,0.0
Provideniya,64.38,-173.3,23.2,96,100,13.89,RU,2020-04-19 01-03:04,light snow,0.0,0.93
Mount Gambier,-37.83,140.77,53.6,93,90,5.82,AU,2020-04-19 01-02:06,overcast clouds,0.0,0.0
New Amsterdam,6.25,-57.52,78.87,82,37,8.41,GY,2020-04-19 01-07:08,scattered clouds,0.0,0.0
Yulara,-25.24,130.99,75.2,31,25,9.17,AU,2020-04-19 01-04:07,scattered clouds,0.0,0.0
Altay,47.87,88.12,46.24,36,95,3.6,CN,2020-04-19 01-07:09,overcast clouds,0.0,0.0
Gravdal,68.12,13.5,40.57,92,93,11.59,NO,2020-04-19 01-07:11,overcast clouds,0.0,0.0
Iqaluit,63.75,-68.51,1.4,64,20,5.82,CA,2020-04-19 01-00:53,few clouds,0.0,0.0
Biak,-0.91,122.88,81.9,73,29,0.98,ID,2020-04-19 01-03:52,light rain,0.51,0.0
Puerto Ayora,-0.74,-90.35,82.4,74,75,9.17,EC,2020-04-19 01-01:51,broken clouds,0.0,0.0
Rio Grande,-32.03,-52.1,64.99,91,0,11.3,BR,2020-04-19 01-00:06,clear sky,0.0,0.0
Tura,25.52,90.22,65.77,79,12,1.36,IN,2020-04-19 01-07:14,light rain,0.68,0.0
Mariental,-24.63,17.97,77.05,23,53,6.64,NA,2020-04-19 01-07:14,broken clouds,0.0,0.0
Ribeira Grande,38.52,-28.7,61.93,85,100,16.91,PT,2020-04-19 01-00:54,light rain,0.72,0.0
Khryashchevka,53.81,49.09,33.8,81,7,11.18,RU,2020-04-19 01-03:32,clear sky,0.0,0.0
Butaritari,3.07,172.79,83.46,77,97,18.12,KI,2020-04-19 01-03:11,light rain,1.57,0.0
Kavieng,-2.57,150.8,83.07,74,98,4.45,PG,2020-04-19 01-03:22,light rain,1.09,0.0
Bilibino,68.05,166.44,7.61,79,64,5.95,RU,2020-04-19 01-01:47,broken clouds,0.0,0.0
Sao Filipe,14.9,-24.5,71.13,72,28,19.19,CV,2020-04-19 01-03:29,scattered clouds,0.0,0.0
Hovd,48.01,91.64,34.79,40,0,3.02,MN,2020-04-19 01-07:19,clear sky,0.0,0.0
Alim,9.56,122.49,84.87,68,0,13.38,PH,2020-04-19 01-07:20,clear sky,0.0,0.0
Hvide Sande,56.0,8.13,36.0,72,0,11.39,DK,2020-04-19 01-07:20,clear sky,0.0,0.0
Severo-Kurilsk,50.68,156.12,34.65,89,29,14.27,RU,2020-04-19 01-03:31,scattered clouds,0.0,0.0
Oyama,36.3,139.8,64.0,41,55,11.97,JP,2020-04-19 01-07:21,broken clouds,0.0,0.0
Geraldton,-28.77,114.6,69.8,94,75,6.93,AU,2020-04-19 01-04:00,broken clouds,0.0,0.0
Larap,14.3,122.65,81.73,78,62,9.19,PH,2020-04-19 01-07:22,broken clouds,0.0,0.0
Ahipara,-35.17,173.17,67.24,74,93,8.86,NZ,2020-04-19 01-07:23,overcast clouds,0.0,0.0
Arlit,18.74,7.39,83.7,12,0,7.34,NE,2020-04-19 01-04:02,clear sky,0.0,0.0
San Pedro,14.35,121.02,89.01,70,40,6.93,PH,2020-04-19 01-05:20,scattered clouds,0.0,0.0
Saint George,37.1,-113.58,68.0,32,40,12.75,US,2020-04-19 00-58:17,scattered clouds,0.0,0.0
Khatanga,71.97,102.5,14.09,94,0,4.61,RU,2020-04-19 01-00:42,clear sky,0.0,0.0
Santa Rosalia,27.32,-112.28,75.58,31,3,3.15,MX,2020-04-19 01-07:26,clear sky,0.0,0.0
Madang,-5.22,145.8,81.19,77,100,3.51,PG,2020-04-19 01-07:27,light rain,0.31,0.0
Antalaha,-14.9,50.28,75.49,82,66,13.09,MG,2020-04-19 01-04:06,light rain,0.26,0.0
Anchorage,61.22,-149.9,51.8,62,90,6.93,US,2020-04-19 01-06:00,overcast clouds,0.0,0.0
San Quintin,30.48,-115.95,62.46,67,10,18.43,MX,2020-04-19 01-07:28,clear sky,0.0,0.0
Esil,51.96,66.4,49.51,69,98,10.13,KZ,2020-04-19 01-07:29,overcast clouds,0.0,0.0
Campbellsville,37.34,-85.34,50.0,67,1,3.36,US,2020-04-19 01-07:29,clear sky,0.0,0.0
Mar Del Plata,-38.0,-57.56,64.99,88,24,9.17,AR,2020-04-19 00-59:41,few clouds,0.0,0.0
Yumen,40.28,97.2,50.07,24,89,15.01,CN,2020-04-19 01-07:30,overcast clouds,0.0,0.0
Atambua,-9.11,124.89,78.22,66,56,1.36,ID,2020-04-19 01-07:31,broken clouds,0.0,0.0
Port Hardy,50.7,-127.42,57.2,67,20,12.75,CA,2020-04-19 01-01:25,few clouds,0.0,0.0
Umm Lajj,25.02,37.27,71.06,55,62,6.69,SA,2020-04-19 01-07:32,broken clouds,0.0,0.0
Ocampo,21.65,-101.5,76.64,15,51,11.83,MX,2020-04-19 01-07:32,broken clouds,0.0,0.0
Dawson Creek,55.77,-120.24,55.4,26,1,5.82,CA,2020-04-19 01-07:33,clear sky,0.0,0.0
Impfondo,1.64,18.07,70.11,84,18,0.98,CG,2020-04-19 01-07:33,few clouds,0.0,0.0
Laguna De Perlas,12.34,-83.67,80.89,74,8,9.17,NI,2020-04-19 01-07:36,clear sky,0.0,0.0
Upernavik,72.79,-56.15,22.95,90,99,14.5,GL,2020-04-19 01-01:06,overcast clouds,0.0,0.0
Kununurra,-15.77,128.73,89.6,59,68,3.36,AU,2020-04-19 01-07:37,broken clouds,0.0,0.0
Durban,-29.86,31.03,69.8,88,75,6.93,ZA,2020-04-19 01-06:02,broken clouds,0.0,0.0
Sarandi,-23.44,-51.87,62.44,67,9,5.23,BR,2020-04-19 01-07:38,clear sky,0.0,0.0
Hofn,64.25,-15.21,45.39,88,99,14.23,IS,2020-04-19 01-02:27,light rain,0.38,0.0
Meulaboh,4.14,96.13,78.93,83,80,5.32,ID,2020-04-19 01-07:39,light rain,0.33,0.0
Smithers,54.78,-127.17,60.8,36,20,4.7,CA,2020-04-19 01-07:39,few clouds,0.0,0.0
Nikolskoye,59.7,30.79,37.4,92,90,11.18,RU,2020-04-19 01-00:38,light intensity shower rain,0.0,0.0
San Marcos,33.14,-117.17,64.4,67,75,8.05,US,2020-04-19 01-07:40,broken clouds,0.0,0.0
Coquimbo,-29.95,-71.34,59.0,87,75,4.7,CL,2020-04-19 01-07:41,broken clouds,0.0,0.0
Bambous Virieux,-20.34,57.76,75.0,85,30,5.99,MU,2020-04-19 01-03:24,scattered clouds,0.0,0.0
Necochea,-38.55,-58.74,64.99,78,38,13.0,AR,2020-04-19 01-06:08,scattered clouds,0.0,0.0
Lakatoro,-16.1,167.42,86.0,74,75,6.93,VU,2020-04-19 01-07:42,broken clouds,0.0,0.0
Abnub,27.27,31.15,62.6,63,0,11.41,EG,2020-04-19 01-04:57,clear sky,0.0,0.0
Dingle,11.0,122.67,83.3,71,13,11.9,PH,2020-04-19 01-04:02,light rain,0.13,0.0
Constitucion,-35.33,-72.42,59.36,92,69,11.05,CL,2020-04-19 01-01:48,broken clouds,0.0,0.0
Parabel,58.7,81.48,38.93,79,95,12.08,RU,2020-04-19 01-07:45,overcast clouds,0.0,0.0
Huarmey,-10.07,-78.15,72.7,76,33,7.67,PE,2020-04-19 01-04:00,scattered clouds,0.0,0.0
Vila,42.03,-8.16,48.2,100,90,3.36,PT,2020-04-19 01-07:47,fog,0.0,0.0
Roald,62.58,6.13,37.4,93,7,4.7,NO,2020-04-19 01-05:31,clear sky,0.0,0.0
Bluff,-46.6,168.33,55.99,64,98,10.0,NZ,2020-04-19 01-03:19,light rain,0.11,0.0
Sola,-13.88,167.55,87.8,74,75,4.7,VU,2020-04-19 01-03:49,broken clouds,0.0,0.0
Ulaanbaatar,47.91,106.88,30.2,63,40,20.13,MN,2020-04-19 01-03:15,scattered clouds,0.0,0.0
Tupik,54.43,119.93,17.78,84,99,16.46,RU,2020-04-19 01-07:50,overcast clouds,0.0,0.0
Daru,-9.08,143.21,84.15,73,47,7.81,PG,2020-04-19 01-07:50,scattered clouds,0.0,0.0
Alta Floresta,-9.88,-56.09,73.11,87,54,4.29,BR,2020-04-19 01-07:51,light rain,1.3,0.0
Uyuni,-20.46,-66.83,49.66,13,40,2.68,BO,2020-04-19 01-07:51,scattered clouds,0.0,0.0
Yellowknife,62.46,-114.35,28.4,92,90,6.93,CA,2020-04-19 00-57:37,light snow,0.0,0.0
Matagami,49.75,-77.63,42.8,45,90,20.8,CA,2020-04-19 01-07:52,overcast clouds,0.0,0.0
Porto Da Folha,-9.92,-37.28,76.73,86,100,5.88,BR,2020-04-19 01-07:53,light rain,1.97,0.0
San Carlos De Bariloche,-41.15,-71.31,53.6,62,40,26.4,AR,2020-04-19 01-07:53,scattered clouds,0.0,0.0
Kashi,39.45,75.98,48.2,70,20,4.47,CN,2020-04-19 01-07:54,few clouds,0.0,0.0
Mayaky,47.44,29.56,45.12,50,81,3.27,UA,2020-04-19 01-07:54,broken clouds,0.0,0.0
Qui Nhon,13.77,109.23,78.75,82,45,5.14,VN,2020-04-19 01-06:29,scattered clouds,0.0,0.0
Victoria,22.29,114.16,79.0,74,76,4.0,HK,2020-04-19 01-00:03,broken clouds,0.0,0.0
Mercedes,-34.65,-59.43,64.0,81,0,1.01,AR,2020-04-19 01-07:55,clear sky,0.0,0.0
Olga,43.74,135.29,47.12,54,7,4.29,RU,2020-04-19 01-04:08,clear sky,0.0,0.0
Mao,39.89,4.27,62.6,93,100,12.75,ES,2020-04-19 01-07:57,light rain,0.0,0.0
Cherskiy,68.75,161.3,7.61,89,40,9.91,RU,2020-04-19 01-03:40,scattered clouds,0.0,0.0
Tautira,-17.73,-149.15,87.8,70,84,9.17,PF,2020-04-19 01-01:13,light rain,0.56,0.0
Taoudenni,22.68,-3.98,77.38,55,38,17.31,ML,2020-04-19 01-03:38,scattered clouds,0.0,0.0
Kavaratti,10.57,72.64,84.6,71,9,5.79,IN,2020-04-19 01-03:25,clear sky,0.0,0.0
Quang Ngai,15.12,108.8,78.03,84,36,7.81,VN,2020-04-19 01-08:00,scattered clouds,0.0,0.0
Santo Tomas,14.11,121.14,89.01,70,40,6.93,PH,2020-04-19 01-08:00,scattered clouds,0.0,0.0
Lethem,3.38,-59.8,86.43,45,6,2.75,GY,2020-04-19 01-08:01,light rain,0.37,0.0
Vostok,46.49,135.88,50.99,42,21,4.74,RU,2020-04-19 01-08:01,few clouds,0.0,0.0
Alice Springs,-23.7,133.88,77.0,29,13,8.05,AU,2020-04-19 01-00:39,few clouds,0.0,0.0
Hudson Bay,52.85,-102.38,29.28,84,100,9.86,CA,2020-04-19 01-04:04,light snow,0.0,0.3
Pumiao,22.75,108.48,75.2,88,75,4.47,CN,2020-04-19 01-08:02,broken clouds,0.0,0.0
Tessalit,20.2,1.01,84.18,12,8,8.01,ML,2020-04-19 01-08:03,clear sky,0.0,0.0
Cascais,38.7,-9.42,59.0,87,3,13.96,PT,2020-04-19 01-08:04,clear sky,0.0,0.0
Fairbanks,64.84,-147.72,44.6,100,90,2.01,US,2020-04-19 01-00:29,overcast clouds,0.0,0.0
Beringovskiy,63.05,179.32,20.89,96,100,17.2,RU,2020-04-19 01-03:46,light snow,0.0,0.76
Makuyuni,-4.73,38.1,69.94,79,100,3.04,TZ,2020-04-19 01-08:06,light rain,1.61,0.0
Rio Casca,-20.23,-42.65,67.68,77,92,2.73,BR,2020-04-19 01-08:06,light rain,0.11,0.0
Diffa,13.32,12.61,83.34,12,26,10.4,NE,2020-04-19 01-08:07,scattered clouds,0.0,0.0
Srandakan,-7.94,110.25,80.02,79,86,3.76,ID,2020-04-19 01-08:07,light rain,0.12,0.0
Port Keats,-14.25,129.55,86.14,70,24,6.13,AU,2020-04-19 01-08:08,light rain,0.43,0.0
Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,45,20,22.37,RU,2020-04-19 01-01:43,few clouds,0.0,0.0
Novobiryusinskiy,56.96,97.71,27.88,88,0,6.29,RU,2020-04-19 01-08:09,clear sky,0.0,0.0
